"","X_id","location_name","address","year","year_stage","suspected_non_fatal_overdoses"
"1",1,"SSHA Broadway Residences 1","55 Broadway Ave",2020,"Q1",""
"2",2,"SSHA Broadway Residences 1","55 Broadway Ave",2020,"Q2","< 5"
"3",3,"SSHA Broadway Residences 1","55 Broadway Ave",2020,"Q3","0"
"4",4,"SSHA Broadway Residences 1","55 Broadway Ave",2020,"Q4",""
"5",5,"SSHA Broadway Residences 2","65 Broadway Ave",2020,"Q1",""
"6",6,"SSHA Broadway Residences 2","65 Broadway Ave",2020,"Q2","0"
"7",7,"SSHA Broadway Residences 2","65 Broadway Ave",2020,"Q3","< 5"
"8",8,"SSHA Broadway Residences 2","65 Broadway Ave",2020,"Q4",""
"9",9,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2018,"Q1","8"
"10",10,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2018,"Q2","7"
"11",11,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2018,"Q3",""
"12",12,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2018,"Q4",""
"13",13,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2020,"Q1",""
"14",14,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2020,"Q2",""
"15",15,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2020,"Q3",""
"16",16,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2020,"Q4","9"
"17",17,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2021,"Q1","41"
"18",18,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2021,"Q2","15"
"19",19,"HFS 195 Princes' Blvd ","195 Princes' Blvd",2021,"Q3","24"
"20",20,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2020,"Q1",""
"21",21,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2020,"Q2",""
"22",22,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2020,"Q3","< 5"
"23",23,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2020,"Q4","17"
"24",24,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2021,"Q1","17"
"25",25,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2021,"Q2","13"
"26",26,"Dixon Hall Bond Place Hotel Program","65 Dundas St E",2021,"Q3","36"
"27",27,"CONC Men's Shelter Bloor St W","850 Bloor St W",2020,"Q1",""
"28",28,"CONC Men's Shelter Bloor St W","850 Bloor St W",2020,"Q2",""
"29",29,"CONC Men's Shelter Bloor St W","850 Bloor St W",2020,"Q3",""
"30",30,"CONC Men's Shelter Bloor St W","850 Bloor St W",2020,"Q4","< 5"
"31",31,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2019,"Q1",""
"32",32,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2019,"Q2","< 5"
"33",33,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2019,"Q3",""
"34",34,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2019,"Q4",""
"35",35,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2020,"Q1","< 5"
"36",36,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2020,"Q2",""
"37",37,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2020,"Q3",""
"38",38,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2020,"Q4","< 5"
"39",39,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2021,"Q1","< 5"
"40",40,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2021,"Q2","< 5"
"41",41,"CONC Men's Shelter Lansdowne Ave","973 Lansdowne Ave",2021,"Q3","0"
"42",42,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2018,"Q1",""
"43",43,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2018,"Q2","< 5"
"44",44,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2018,"Q3",""
"45",45,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2018,"Q4",""
"46",46,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2020,"Q1",""
"47",47,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2020,"Q2",""
"48",48,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2020,"Q3",""
"49",49,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2020,"Q4","< 5"
"50",50,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2021,"Q1","10"
"51",51,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2021,"Q2","8"
"52",52,"CONC Etobicoke Hotel Program","445 Rexdale Blvd",2021,"Q3","< 5"
"53",53,"Cornerstone Place","616 Vaughan Rd",2018,"Q1",""
"54",54,"Cornerstone Place","616 Vaughan Rd",2018,"Q2","< 5"
"55",55,"Cornerstone Place","616 Vaughan Rd",2018,"Q3",""
"56",56,"Cornerstone Place","616 Vaughan Rd",2018,"Q4",""
"57",57,"Cornerstone Place","616 Vaughan Rd",2019,"Q1","< 5"
"58",58,"Cornerstone Place","616 Vaughan Rd",2019,"Q2",""
"59",59,"Cornerstone Place","616 Vaughan Rd",2019,"Q3",""
"60",60,"Cornerstone Place","616 Vaughan Rd",2019,"Q4",""
"61",61,"COSTI Uptown Hotel Program","55 Hallcrown Pl",2020,"Q1",""
"62",62,"COSTI Uptown Hotel Program","55 Hallcrown Pl",2020,"Q2",""
"63",63,"COSTI Uptown Hotel Program","55 Hallcrown Pl",2020,"Q3",""
"64",64,"COSTI Uptown Hotel Program","55 Hallcrown Pl",2020,"Q4","< 5"
"65",65,"COSTI/SSHA Etobicoke Hotel Program","1677 Wilson Ave",2021,"Q1","21"
"66",66,"COSTI/SSHA Etobicoke Hotel Program","1677 Wilson Ave",2021,"Q2","16"
"67",67,"COSTI/SSHA Etobicoke Hotel Program","1677 Wilson Ave",2021,"Q3","10"
"68",68,"Covenant House Gerrard St E","20 Gerrard St E",2018,"Q1","< 5"
"69",69,"Covenant House Gerrard St E","20 Gerrard St E",2018,"Q2","< 5"
"70",70,"Covenant House Gerrard St E","20 Gerrard St E",2018,"Q3","< 5"
"71",71,"Covenant House Gerrard St E","20 Gerrard St E",2018,"Q4","< 5"
"72",72,"Covenant House Gerrard St E","20 Gerrard St E",2019,"Q1","< 5"
"73",73,"Covenant House Gerrard St E","20 Gerrard St E",2019,"Q2","< 5"
"74",74,"Covenant House Gerrard St E","20 Gerrard St E",2019,"Q3",""
"75",75,"Covenant House Gerrard St E","20 Gerrard St E",2019,"Q4",""
"76",76,"Covenant House Gerrard St E","20 Gerrard St E",2020,"Q1",""
"77",77,"Covenant House Gerrard St E","20 Gerrard St E",2020,"Q2",""
"78",78,"Covenant House Gerrard St E","20 Gerrard St E",2020,"Q3",""
"79",79,"Covenant House Gerrard St E","20 Gerrard St E",2020,"Q4","< 5"
